"SubjectID","Angle","Base","Feature","SizeDirection","Manipulation","ExpectedAns","ResponseTime(ms)","GivenAnswer","Correct"
40,"36","0.4","angle","decrease","distance","same","12159","smaller",0
40,"36","0.4","angle","increase","distance","same","8791","bigger",0
40,"36","0.4","angle","increase","angle","smaller","9598","bigger",0
40,"36","0.4","vertex","decrease","distance","downward","12715","downward",1
40,"36","0.4","vertex","increase","angle","upward","18618","upward",1
40,"36","0.4","angle","decrease","angle","bigger","13874","smaller",0
41,"36","0.4","vertex","increase","angle","upward","9870","upward",1
41,"36","0.4","angle","decrease","angle","bigger","22006","bigger",1
41,"36","0.4","vertex","decrease","angle","downward","5021","downward",1
41,"36","0.4","vertex","decrease","distance","downward","26485","downward",1
41,"36","0.4","angle","decrease","distance","same","12678","smaller",0
41,"36","0.4","vertex","increase","distance","upward","10228","upward",1
41,"36","0.4","angle","increase","distance","same","4605","bigger",0
41,"36","0.4","angle","increase","angle","smaller","5535","bigger",0
42,"36","0.4","vertex","decrease","distance","downward","12476","downward",1
42,"36","0.4","vertex","increase","angle","upward","7593","upward",1
42,"36","0.4","angle","decrease","angle","bigger","7012","bigger",1
42,"36","0.4","vertex","decrease","angle","downward","7756","downward",1
42,"36","0.4","angle","decrease","distance","same","11114","same",1
42,"36","0.4","vertex","increase","distance","upward","9823","upward",1
42,"36","0.4","angle","increase","distance","same","4348","same",1
42,"36","0.4","angle","increase","angle","smaller","8037","smaller",1
43,"36","0.4","angle","decrease","angle","bigger","36605","bigger",1
43,"36","0.4","vertex","decrease","angle","downward","17305","downward",1
43,"36","0.4","vertex","increase","distance","upward","26537","stayPlace",0
43,"36","0.4","angle","increase","angle","smaller","12473","smaller",1
43,"36","0.4","angle","increase","distance","same","23566","same",1
43,"36","0.4","angle","decrease","distance","same","13626","same",1
43,"36","0.4","vertex","increase","angle","upward","12857","upward",1
43,"36","0.4","vertex","decrease","distance","downward","6853","downward",1
44,"36","0.4","vertex","increase","angle","upward","38612","upward",1
44,"36","0.4","angle","increase","angle","smaller","24672","bigger",0
44,"36","0.4","angle","decrease","angle","bigger","20922","same",0
44,"36","0.4","vertex","increase","distance","upward","28977","downward",0
44,"36","0.4","vertex","decrease","distance","downward","16729","upward",0
44,"36","0.4","angle","increase","distance","same","15972","bigger",0
44,"36","0.4","vertex","decrease","angle","downward","67631","downward",1
44,"36","0.4","angle","decrease","distance","same","13049","smaller",0
45,"36","0.4","vertex","increase","angle","upward","6788","upward",1
45,"36","0.4","vertex","increase","distance","upward","4240","downward",0
45,"36","0.4","vertex","decrease","angle","downward","4218","upward",0
45,"36","0.4","angle","decrease","angle","bigger","4413","same",0
45,"36","0.4","angle","decrease","distance","same","3694","bigger",0
45,"36","0.4","angle","increase","angle","smaller","5078","same",0
45,"36","0.4","angle","increase","distance","same","4157","bigger",0
45,"36","0.4","vertex","decrease","distance","downward","4814","upward",0
46,"36","0.4","angle","increase","angle","smaller","16088","bigger",0
46,"36","0.4","vertex","decrease","angle","downward","28372","stayPlace",0
46,"36","0.4","angle","decrease","distance","same","19277","smaller",0
46,"36","0.4","angle","decrease","angle","bigger","21606","smaller",0
46,"36","0.4","angle","increase","distance","same","12302","smaller",0
46,"36","0.4","vertex","decrease","distance","downward","10021","stayPlace",0
46,"36","0.4","vertex","increase","angle","upward","11871","upward",1
46,"36","0.4","vertex","increase","distance","upward","6565","downward",0
47,"36","0.4","angle","decrease","distance","same","33809","smaller",0
47,"36","0.4","vertex","decrease","angle","downward","32403","downward",1
47,"36","0.4","vertex","increase","distance","upward","35074","upward",1
47,"36","0.4","angle","increase","angle","smaller","18335","smaller",1
47,"36","0.4","vertex","increase","angle","upward","14302","upward",1
47,"36","0.4","angle","increase","distance","same","13862","same",1
47,"36","0.4","angle","decrease","angle","bigger","11567","same",0
47,"36","0.4","vertex","decrease","distance","downward","16446","downward",1
48,"36","0.4","angle","decrease","angle","bigger","16901","bigger",1
48,"36","0.4","vertex","increase","distance","upward","18569","upward",1
48,"36","0.4","angle","decrease","distance","same","93801","bigger",0
48,"36","0.4","angle","increase","distance","same","10730","smaller",0
48,"36","0.4","vertex","increase","angle","upward","11080","upward",1
48,"36","0.4","angle","increase","angle","smaller","6843","smaller",1
48,"36","0.4","vertex","decrease","angle","downward","7597","downward",1
48,"36","0.4","vertex","decrease","distance","downward","16545","downward",1
49,"36","0.4","angle","decrease","distance","same","55906","smaller",0
49,"36","0.4","vertex","increase","distance","upward","35245","downward",0
49,"36","0.4","vertex","increase","angle","upward","12781","upward",1
49,"36","0.4","angle","decrease","angle","bigger","23253","bigger",1
49,"36","0.4","vertex","decrease","angle","downward","19054","downward",1
49,"36","0.4","angle","increase","angle","smaller","32870","smaller",1
49,"36","0.4","angle","increase","distance","same","31964","bigger",0
49,"36","0.4","vertex","decrease","distance","downward","36445","upward",0
50,"36","0.4","angle","increase","distance","same","9660","bigger",0
50,"36","0.4","vertex","increase","angle","upward","6373","downward",0
50,"36","0.4","angle","increase","angle","smaller","2311","same",0
50,"36","0.4","vertex","increase","distance","upward","2514","upward",1
50,"36","0.4","vertex","decrease","angle","downward","2485","downward",1
50,"36","0.4","angle","decrease","angle","bigger","2109","same",0
50,"36","0.4","angle","decrease","distance","same","17813","bigger",0
50,"36","0.4","vertex","decrease","distance","downward","7250","stayPlace",0
